context_types,eff_samples,sum_expections,proportion_exceptions,iterations,n_obj,sd_brown,sd_tall,theta,brown_tall,tall_brown
all,1750,169,0.09657142857142857,10000,20,sd_less_subjective: 0.1,sd_more_subjective: 0.25,0.8,0.6965714285714286,0.8284952380952381
all,1757,292,0.1661923733636881,10000,20,sd_less_subjective: 0.2,sd_more_subjective: 0.25,0.8,0.6712198823752609,0.7161828874976285
all,1785,247,0.13837535014005603,10000,20,sd_less_subjective: 0.2,sd_more_subjective: 0.3,0.8,0.6314659197012139,0.7130718954248365
all,1787,192,0.10744264129826525,10000,20,sd_less_subjective: 0.1,sd_more_subjective: 0.3,0.8,0.6491326245103526,0.7967263570229435
all,1889,162,0.08575966119640022,10000,16,sd_less_subjective: 0.1,sd_more_subjective: 0.25,0.8,0.7113993294512088,0.8323628021881065
all,1896,263,0.13871308016877637,10000,16,sd_less_subjective: 0.2,sd_more_subjective: 0.3,0.8,0.6512834036568214,0.7327267932489452
all,1912,301,0.1574267782426778,10000,16,sd_less_subjective: 0.2,sd_more_subjective: 0.25,0.8,0.6990062761506276,0.733176429567643
all,1953,193,0.09882232462877624,10000,16,sd_less_subjective: 0.1,sd_more_subjective: 0.3,0.8,0.6718723331626558,0.815668202764977
all,2122,317,0.14938737040527805,10000,12,sd_less_subjective: 0.2,sd_more_subjective: 0.25,0.8,0.7251806471881872,0.7561262959472196
all,2129,169,0.07937999060591827,10000,12,sd_less_subjective: 0.1,sd_more_subjective: 0.3,0.8,0.6603648035071239,0.8336073273837482
all,2143,181,0.08446103593093794,10000,12,sd_less_subjective: 0.1,sd_more_subjective: 0.25,0.8,0.7207186187587494,0.8477990356198475
all,2151,279,0.1297071129707113,10000,12,sd_less_subjective: 0.2,sd_more_subjective: 0.3,0.8,0.6822408182240818,0.7508910584224392
all,2521,304,0.12058706862356208,10000,8,sd_less_subjective: 0.2,sd_more_subjective: 0.3,0.8,0.7202168451672617,0.7862620653179956
all,2526,198,0.07838479809976247,10000,8,sd_less_subjective: 0.1,sd_more_subjective: 0.25,0.8,0.7577197149643705,0.8631565056743205
all,2568,200,0.0778816199376947,10000,8,sd_less_subjective: 0.1,sd_more_subjective: 0.3,0.8,0.7054127725856698,0.8518302180685359
all,2594,329,0.12683114880493446,10000,8,sd_less_subjective: 0.2,sd_more_subjective: 0.25,0.8,0.7365073245952197,0.7842456951940375
all,3463,393,0.11348541726826451,10000,4,sd_less_subjective: 0.2,sd_more_subjective: 0.3,0.8,0.7783713543170662,0.8198094138030609
all,3468,204,0.058823529411764705,10000,4,sd_less_subjective: 0.1,sd_more_subjective: 0.3,0.8,0.7758073817762399,0.8908592848904268
all,3471,209,0.06021319504465572,10000,4,sd_less_subjective: 0.1,sd_more_subjective: 0.25,0.8,0.8043791414577931,0.897291846730049
all,3535,407,0.11513437057991513,10000,4,sd_less_subjective: 0.2,sd_more_subjective: 0.25,0.8,0.8125884016973126,0.828995756718529
all,4079,809,0.198332924736455,10000,20,sd_less_subjective: 0.2,sd_more_subjective: 0.25,0.6000000000000001,0.5728633301813003,0.5932161244002381
all,4080,763,0.18700980392156863,10000,16,sd_less_subjective: 0.2,sd_more_subjective: 0.25,0.6000000000000001,0.613405112044818,0.6373004201680672
all,4082,474,0.11611954924056835,10000,12,sd_less_subjective: 0.1,sd_more_subjective: 0.3,0.6000000000000001,0.6147785865938732,0.723771027274212
all,4087,640,0.1565940787863959,10000,20,sd_less_subjective: 0.1,sd_more_subjective: 0.25,0.6000000000000001,0.5941792792477891,0.6671793258531697
all,4092,528,0.12903225806451613,10000,16,sd_less_subjective: 0.1,sd_more_subjective: 0.3,0.6000000000000001,0.5897383978029139,0.6841787692594145
all,4095,709,0.17313797313797313,10000,16,sd_less_subjective: 0.2,sd_more_subjective: 0.3,0.6000000000000001,0.5820739577882436,0.6185004942147799
all,4108,624,0.1518987341772152,10000,16,sd_less_subjective: 0.1,sd_more_subjective: 0.25,0.6000000000000001,0.6421094728056753,0.7035459266471924
all,4122,768,0.18631732168850074,10000,20,sd_less_subjective: 0.2,sd_more_subjective: 0.3,0.6000000000000001,0.5667951872646196,0.6049314364270696
all,4135,636,0.15380894800483677,10000,12,sd_less_subjective: 0.2,sd_more_subjective: 0.3,0.6000000000000001,0.6167714631197098,0.6651252375194334
all,4163,431,0.10353110737448955,10000,8,sd_less_subjective: 0.1,sd_more_subjective: 0.25,0.6000000000000001,0.7220033629594043,0.7950356313555929
all,4163,621,0.14917127071823205,10000,20,sd_less_subjective: 0.1,sd_more_subjective: 0.3,0.6000000000000001,0.5838863914530501,0.6649941472305152
all,4178,562,0.13451412158927717,10000,12,sd_less_subjective: 0.1,sd_more_subjective: 0.25,0.6000000000000001,0.6566419339396841,0.7281235040689324
all,4178,692,0.1656294877932025,10000,12,sd_less_subjective: 0.2,sd_more_subjective: 0.25,0.6000000000000001,0.6507858624541247,0.6737137842212041
all,4179,597,0.14285714285714285,10000,8,sd_less_subjective: 0.2,sd_more_subjective: 0.25,0.6000000000000001,0.7080003190555954,0.7330581478822684
